cognome,nome,legislatura,gruppoParlamentare
TASSO,ANTONIO,18,VICEPRESIDENTE
TASSO,ANTONIO,18,RAPPRESENTANTE COMPONENTE GRUPPO MISTO
CARELLI,EMILIO,18,VICEPRESIDENTE
MARATTIN,LUIGI,18,VICEPRES. VICARIO
FOTI,TOMMASO,18,VICEPRES. VICARIO
FOTI,TOMMASO,18,VICEPRESIDENTE
SUT,LUCA,18,VICEPRESIDENTE
NOBILI,LUCIANO,18,SEGRETARIO
ROTONDI,GIANFRANCO,18,VICEPRESIDENTE
VARRICA,ADRIANO,18,VICEPRESIDENTE
RUSSO,PAOLO,18,VICEPRESIDENTE
ROSPI,GIANLUCA,18,VICEPRESIDENTE
ROSPI,GIANLUCA,18,RAPPRESENTANTE COMPONENTE GRUPPO MISTO
SCERRA,FILIPPO,18,VICEPRESIDENTE
DE MARIA,ANDREA,18,TESORIERE
ZANICHELLI,DAVIDE,18,DELEGATO D'AULA
ZANICHELLI,DAVIDE,18,SEGRETARIO
RAMPELLI,FABIO,18,PRESIDENTE
RICCIARDI,RICCARDO,18,VICEPRES. VICARIO
COLLETTI,ANDREA,18,VICEPRESIDENTE
COLLETTI,ANDREA,18,RAPPRESENTANTE COMPONENTE GRUPPO MISTO
BORDO,MICHELE,18,VICEPRESIDENTE
MAGI,RICCARDO,18,VICEPRESIDENTE
MAGI,RICCARDO,18,RAPPRESENTANTE COMPONENTE GRUPPO MISTO
GALLO,LUIGI,18,VICEPRESIDENTE
VITIELLO,CATELLO,18,VICEPRESIDENTE
VITIELLO,CATELLO,18,RAPPRESENTANTE COMPONENTE GRUPPO MISTO
VITIELLO,CATELLO,18,MEMBRO DEL C.D.
DI MAIO,MARCO,18,VICEPRES. VICARIO
L'ABBATE,GIUSEPPE,18,VICEPRESIDENTE
SILVESTRI,FRANCESCO,18,VICEPRES. VICARIO
SILVESTRI,FRANCESCO,18,PRESIDENTE
SILVESTRI,FRANCESCO,18,TESORIERE
SILVESTRI,FRANCESCO,18,VICEPRESIDENTE
BALDELLI,SIMONE,18,DELEGATO D'AULA
BALDELLI,SIMONE,18,VICEPRESIDENTE
PAGANO,ALESSANDRO SARO ALFONSO,18,VICEPRESIDENTE
FIANO,EMANUELE,18,SEGRETARIO
FIANO,EMANUELE,18,DELEGATO D'AULA
FIANO,EMANUELE,18,SEGRETARIO D'AULA
BATTELLI,SERGIO,18,TESORIERE
RIXI,EDOARDO,18,VICEPRESIDENTE
MAGLIONE,PASQUALE,18,VICEPRES. VICARIO
GARAVAGLIA,MASSIMO,18,TESORIERE
LOLLOBRIGIDA,FRANCESCO,18,PRESIDENTE
BARELLI,PAOLO,18,PRESIDENTE
VALENTINI,VALENTINO,18,VICEPRES. VICARIO
VALENTINI,VALENTINO,18,DELEGATO D'AULA
PAROLO,UGO,18,VICEPRESIDENTE
ZICCHIERI,FRANCESCO,18,VICEPRESIDENTE
ROMANIELLO,CRISTIAN,18,VICEPRESIDENTE
ROMANIELLO,CRISTIAN,18,RAPPRESENTANTE COMPONENTE GRUPPO MISTO
DE LUCA,PIERO,18,VICEPRESIDENTE
DEL BARBA,MAURO,18,TESORIERE
MOLINARI,RICCARDO,18,PRESIDENTE
MOLINARI,RICCARDO,18,VICEPRESIDENTE
ROSSO,ROBERTO,18,VICEPRESIDENTE
MARIN,MARCO,18,RAPPRESENTANTE COMPONENTE GRUPPO MISTO
MARIN,MARCO,18,PRESIDENTE
MARIN,MARCO,18,VICEPRESIDENTE
LEPRI,STEFANO,18,SEGRETARIO
FORNARO,FEDERICO,18,PRESIDENTE
PROVENZA,NICOLA,18,SEGRETARIO
PROVENZA,NICOLA,18,DELEGATO D'AULA
CARABETTA,LUCA,18,TESORIERE
ZARDINI,DIEGO,18,SEGRETARIO
CAPITANIO,MASSIMILIANO,18,TESORIERE
PEDRAZZINI,CLAUDIO,18,RAPPRESENTANTE COMPONENTE GRUPPO MISTO
PEDRAZZINI,CLAUDIO,18,VICEPRESIDENTE
TARANTINO,LEONARDO,18,TESORIERE
CECCHETTI,FABRIZIO,18,VICEPRES. VICARIO
ZOLEZZI,ALBERTO,18,VICEPRESIDENTE
ADELIZZI,COSIMO,18,DELEGATO D'AULA
ADELIZZI,COSIMO,18,SEGRETARIO
ADELIZZI,COSIMO,18,VICEPRESIDENTE
BORGHI,ENRICO,18,SEGRETARIO D'AULA
BORGHI,ENRICO,18,SEGRETARIO
BORGHI,ENRICO,18,DELEGATO D'AULA
PEREGO DI CREMNAGO,MATTEO,18,VICEPRESIDENTE
LUPI,MAURIZIO ENZO,18,VICEPRESIDENTE
LUPI,MAURIZIO ENZO,18,RAPPRESENTANTE COMPONENTE GRUPPO MISTO
SIBILIA,COSIMO,18,VICEPRESIDENTE
GIORGETTI,GIANCARLO,18,PRESIDENTE
SCHULLIAN,MANFRED,18,VICEPRESIDENTE
SCHULLIAN,MANFRED,18,PRESIDENTE
SCHULLIAN,MANFRED,18,RAPPRESENTANTE COMPONENTE GRUPPO MISTO
MELILLI,FABIO,18,VICEPRESIDENTE
MOLTENI,NICOLA,18,VICEPRES. VICARIO
COIN,DIMITRI,18,VICEPRESIDENTE
NEVI,RAFFAELE,18,VICEPRESIDENTE
NAPOLI,OSVALDO,18,DELEGATO D'AULA
NAPOLI,OSVALDO,18,SEGRETARIO
OLGIATI,RICCARDO,18,DELEGATO D'AULA
OLGIATI,RICCARDO,18,SEGRETARIO
CRIPPA,DAVIDE,18,PRESIDENTE
BITONCI,MASSIMO,18,VICEPRESIDENTE
LONGO,FAUSTO GUILHERME,18,TESORIERE
FUSACCHIA,ALESSANDRO,18,RAPPRESENTANTE COMPONENTE GRUPPO MISTO
FUSACCHIA,ALESSANDRO,18,VICEPRESIDENTE
UNGARO,MASSIMO,18,SEGRETARIO D'AULA
UNGARO,MASSIMO,18,DELEGATO D'AULA
BORGHESE,MARIO ALEJANDRO,18,VICEPRESIDENTE
BORGHESE,MARIO ALEJANDRO,18,RAPPRESENTANTE COMPONENTE GRUPPO MISTO
VINCI,GIANLUCA,19,DELEGATO D'AULA
CAPPELLETTI,ENRICO,19,SEGRETARIO
CAPPELLETTI,ENRICO,19,DELEGATO D'AULA
BENIGNI,STEFANO,19,TESORIERE
BENIGNI,STEFANO,19,DELEGATO D'AULA
RICHETTI,MATTEO,19,PRESIDENTE
LOLLOBRIGIDA,FRANCESCO,19,PRESIDENTE
SCHULLIAN,MANFRED,19,PRESIDENTE
IEZZI,IGOR GIANCARLO,19,VICEPRES. VICARIO
MAGI,RICCARDO,19,VICEPRESIDENTE
MAGI,RICCARDO,19,RAPPRESENTANTE COMPONENTE GRUPPO MISTO
COIN,DIMITRI,19,VICEPRESIDENTE
CIANI,PAOLO,19,VICEPRESIDENTE
CASU,ANDREA,19,DELEGATO D'AULA
CASU,ANDREA,19,SEGRETARIO
CASU,ANDREA,19,SEGRETARIO D'AULA
BRUZZONE,FRANCESCO,19,VICEPRESIDENTE
ROSSI,ANGELO,19,TESORIERE
LUPI,MAURIZIO ENZO,19,VICEPRESIDENTE
LUPI,MAURIZIO ENZO,19,RAPPRESENTANTE COMPONENTE GRUPPO MISTO
LUPI,MAURIZIO ENZO,19,PRESIDENTE
RUSSO,PAOLO EMILIO,19,TESORIERE
MOLINARI,RICCARDO,19,PRESIDENTE
NEVI,RAFFAELE,19,VICEPRES. VICARIO
DE MARIA,ANDREA,19,TESORIERE
RUSPANDINI,MASSIMO,19,VICEPRESIDENTE
BATTILOCCHIO,ALESSANDRO,19,DELEGATO D'AULA
COSTA,ENRICO,19,DELEGATO D'AULA
COSTA,ENRICO,19,SEGRETARIO
ANTONIOZZI,ALFREDO,19,VICEPRESIDENTE
BAGNAI,ALBERTO,19,VICEPRESIDENTE
MARI,FRANCESCO,19,TESORIERE
SILVESTRI,FRANCESCO,19,PRESIDENTE - PORTAVOCE
RICCIARDI,TONI,19,VICEPRESIDENTE
RICCIARDI,TONI,19,SEGRETARIO
SILLI,GIORGIO,18,RAPPRESENTANTE COMPONENTE GRUPPO MISTO
SILLI,GIORGIO,18,VICEPRESIDENTE
ZUCCONI,RICCARDO,18,DELEGATO D'AULA
ZIELLO,EDOARDO,18,DELEGATO D'AULA
PETTARIN,GUIDO GERMANO,18,VICEPRESIDENTE
PETTARIN,GUIDO GERMANO,18,RAPPRESENTANTE COMPONENTE GRUPPO MISTO
PETTARIN,GUIDO GERMANO,18,TESORIERE
