Governo,Ministro,Legislatura
I Governo Renzi,Ministro degli Affari esteri e della cooperazione internazionale,legislatura 17
I Governo Renzi,Ministro della Difesa,legislatura 17
I Governo Renzi,Ministro della Salute,legislatura 17
I Governo Renzi,Ministro per la Semplificazione e la pubblica amministrazione,legislatura 17
I Governo Renzi,Ministro degli Affari esteri,legislatura 17
I Governo Renzi,Ministro per le Riforme costituzionali e i rapporti con il Parlamento,legislatura 17
I Governo Renzi,"Ministro dell'Istruzione, dell'università e della ricerca",legislatura 17
I Governo Renzi,Ministro dello Sviluppo economico,legislatura 17
I Governo Renzi,Ministro senza portafoglio per gli affari regionali,legislatura 17
I Governo Renzi,Ministro senza portafoglio per gli affari regionali e per le autonomie,legislatura 17
I Governo Renzi,Vice Ministro dello Sviluppo economico,legislatura 17
I Governo Letta,Ministro degli Affari Esteri,legislatura 17
I Governo Letta,Ministro della Salute,legislatura 17
I Governo Letta,Ministro delle Politiche Agricole Alimentari e Forestali,legislatura 17
I Governo Letta,Ministro della Giustizia,legislatura 17
I Governo Letta,Vice Ministro degli Affari esteri,legislatura 17
I Governo Letta,Ministro senza portafoglio per l'Integrazione,legislatura 17
I Governo Letta,"Ministro dell'Istruzione, dell'Università e della Ricerca",legislatura 17
I Governo Letta,"Ministro senza portafoglio per le Pari Opportunità, lo Sport e le Politiche Giovanili",legislatura 17
I Governo Letta,Vice Ministro del Lavoro e delle Politiche sociali,legislatura 17
I Governo Gentiloni Silveri,Vice Ministro dello Sviluppo economico,legislatura 17
I Governo Gentiloni Silveri,"Ministro dell'Istruzione, dell'università e della ricerca",legislatura 17
I Governo Gentiloni Silveri,Ministro della Salute,legislatura 17
I Governo Gentiloni Silveri,Ministro per i Rapporti con il Parlamento,legislatura 17
I Governo Gentiloni Silveri,Ministro della Difesa,legislatura 17
I Governo Gentiloni Silveri,Ministro per la Semplificazione e la pubblica amministrazione,legislatura 17
